instruction,response
How do I apply for hostel facilities?,Hostel applications are usually handled by the Student Affairs Division. Notices are published before each academic year.
What should I do if I forget my LMS password?,You can reset your LMS password using the password recovery option or contact the IT support unit.
How can I get my exam results?,Exam results are published on the university website or LMS after approval by the examination board.
What should I do if I forget my LMS password?,You can reset your LMS password using the password recovery option or contact the IT support unit.
How can I register for my semester courses?,You can register for semester courses through the university LMS or by following the registration notice issued by your faculty.
How can I get my exam results?,Exam results are published on the university website or LMS after approval by the examination board.
When does the academic year usually start?,"In Sri Lankan universities, academic years generally begin between February and March depending on UGC schedules."
When does the academic year usually start?,"In Sri Lankan universities, academic years generally begin between February and March depending on UGC schedules."
How can I apply for an internship during my degree?,You should contact your department internship coordinator and follow the official internship guidelines.
How can I register for my semester courses?,You can register for semester courses through the university LMS or by following the registration notice issued by your faculty.
How can I get my exam results?,Exam results are published on the university website or LMS after approval by the examination board.
How can I apply for an internship during my degree?,You should contact your department internship coordinator and follow the official internship guidelines.
What should I do if I forget my LMS password?,You can reset your LMS password using the password recovery option or contact the IT support unit.
How can I access the university library resources?,Students can access library resources using their student ID and through the university’s digital library portal.
How can I register for my semester courses?,You can register for semester courses through the university LMS or by following the registration notice issued by your faculty.
When does the academic year usually start?,"In Sri Lankan universities, academic years generally begin between February and March depending on UGC schedules."
How can I get my exam results?,Exam results are published on the university website or LMS after approval by the examination board.
Who should I contact for timetable issues?,Timetable-related issues should be reported to your department office or academic coordinator.
How do I apply for hostel facilities?,Hostel applications are usually handled by the Student Affairs Division. Notices are published before each academic year.
How can I get my exam results?,Exam results are published on the university website or LMS after approval by the examination board.
How can I apply for an internship during my degree?,You should contact your department internship coordinator and follow the official internship guidelines.
When does the academic year usually start?,"In Sri Lankan universities, academic years generally begin between February and March depending on UGC schedules."
Who should I contact for timetable issues?,Timetable-related issues should be reported to your department office or academic coordinator.
What is the procedure to get a medical for exams?,You must submit a valid medical certificate to your faculty office within the given deadline as per university guidelines.
How can I register for my semester courses?,You can register for semester courses through the university LMS or by following the registration notice issued by your faculty.
Who should I contact for timetable issues?,Timetable-related issues should be reported to your department office or academic coordinator.
What should I do if I forget my LMS password?,You can reset your LMS password using the password recovery option or contact the IT support unit.
How can I apply for an internship during my degree?,You should contact your department internship coordinator and follow the official internship guidelines.
How do I apply for hostel facilities?,Hostel applications are usually handled by the Student Affairs Division. Notices are published before each academic year.
When does the academic year usually start?,"In Sri Lankan universities, academic years generally begin between February and March depending on UGC schedules."
How can I access the university library resources?,Students can access library resources using their student ID and through the university’s digital library portal.
How do I apply for hostel facilities?,Hostel applications are usually handled by the Student Affairs Division. Notices are published before each academic year.
How can I register for my semester courses?,You can register for semester courses through the university LMS or by following the registration notice issued by your faculty.
What is the procedure to get a medical for exams?,You must submit a valid medical certificate to your faculty office within the given deadline as per university guidelines.
How can I access the university library resources?,Students can access library resources using their student ID and through the university’s digital library portal.
What should I do if I miss a lecture?,You should check the lecture slides on the LMS and clarify missed content with classmates or the lecturer.
How do I apply for hostel facilities?,Hostel applications are usually handled by the Student Affairs Division. Notices are published before each academic year.
How do I apply for hostel facilities?,Hostel applications are usually handled by the Student Affairs Division. Notices are published before each academic year.
What is the procedure to get a medical for exams?,You must submit a valid medical certificate to your faculty office within the given deadline as per university guidelines.
How do I apply for hostel facilities?,Hostel applications are usually handled by the Student Affairs Division. Notices are published before each academic year.
Who should I contact for timetable issues?,Timetable-related issues should be reported to your department office or academic coordinator.
How can I get my exam results?,Exam results are published on the university website or LMS after approval by the examination board.
When does the academic year usually start?,"In Sri Lankan universities, academic years generally begin between February and March depending on UGC schedules."
How can I get my exam results?,Exam results are published on the university website or LMS after approval by the examination board.
What is the procedure to get a medical for exams?,You must submit a valid medical certificate to your faculty office within the given deadline as per university guidelines.
Who should I contact for timetable issues?,Timetable-related issues should be reported to your department office or academic coordinator.
What is the procedure to get a medical for exams?,You must submit a valid medical certificate to your faculty office within the given deadline as per university guidelines.
What is the procedure to get a medical for exams?,You must submit a valid medical certificate to your faculty office within the given deadline as per university guidelines.
What should I do if I forget my LMS password?,You can reset your LMS password using the password recovery option or contact the IT support unit.
How do I apply for hostel facilities?,Hostel applications are usually handled by the Student Affairs Division. Notices are published before each academic year.
How can I access the university library resources?,Students can access library resources using their student ID and through the university’s digital library portal.
